순위,광역시/도,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
1,인천광역시,중구,인천국제공항제1여객터미널,인천 중구 공항로 272-0,기타관광,교통시설,2299301
2,경기도,하남시,스타필드하남,경기 하남시 미사대로 750-0,쇼핑,쇼핑몰,1239690
3,인천광역시,중구,인천국제공항제2여객터미널,인천 중구 제2터미널대로 446-0,기타관광,교통시설,1073119
4,경기도,고양시 덕양구,스타필드고양,경기 고양시 덕양구 고양대로 1955-0,쇼핑,쇼핑몰,945706
5,서울특별시,강서구,김포국제공항국내선,서울 강서구 하늘길 111-0,기타관광,교통시설,873143
6,경기도,광명시,광명역,경기 광명시 광명역로 21-0,기타관광,교통시설,699956
7,경기도,김포시,현대프리미엄아울렛김포점,경기 김포시 아라육로152번길 100-0,쇼핑,쇼핑몰,664428
8,경기도,용인시 기흥구,롯데프리미엄아울렛기흥점,경기 용인시 기흥구 신고매로 124-0,쇼핑,쇼핑몰,607884
9,경기도,성남시 분당구,현대백화점판교점,경기 성남시 분당구 판교역로146번길 20-0,쇼핑,백화점,604123
10,서울특별시,강남구,코엑스,서울 강남구 영동대로 513-0,문화관광,전시시설,579472
11,서울특별시,강서구,김포국제공항,서울 강서구 하늘길 112-0,기타관광,교통시설,550662
12,경기도,용인시 처인구,에버랜드,경기 용인시 처인구 에버랜드로 199-0,문화관광,테마공원,545255
13,서울특별시,강남구,SRT수서역,서울 강남구 밤고개로 99-0,기타관광,교통시설,528391
14,부산광역시,강서구,김해국제공항,부산 강서구 공항진입로 108-0,기타관광,교통시설,475063
15,서울특별시,용산구,서울역,서울 용산구 한강대로 405-0,기타관광,교통시설,458053
16,인천광역시,연수구,현대프리미엄아울렛송도점,인천 연수구 송도국제대로 123-0,쇼핑,쇼핑몰,446881
17,서울특별시,서초구,신세계백화점강남점,서울 서초구 신반포로 176-0,쇼핑,백화점,444954
18,경기도,파주시,신세계프리미엄아울렛파주점,경기 파주시 필승로 200-0,쇼핑,쇼핑몰,434839
19,경기도,시흥시,신세계프리미엄아울렛시흥점,경기 시흥시 서해안로 699-0,쇼핑,쇼핑몰,428925
20,경기도,파주시,롯데프리미엄아울렛파주점,경기 파주시 회동길 390-0,쇼핑,쇼핑몰,427371
21,강원특별자치도,속초시,속초관광수산시장,강원 속초시 중앙로147번길 16-0,쇼핑,시장,417774
22,서울특별시,영등포구,타임스퀘어,서울 영등포구 영중로 15-0,쇼핑,쇼핑몰,415141
23,제주특별자치도,제주시,제주국제공항,제주 제주시 공항로 2-0,기타관광,교통시설,395872
24,경기도,이천시,롯데프리미엄아울렛이천점,경기 이천시 프리미엄아울렛로 177-74,쇼핑,쇼핑몰,394821
25,서울특별시,광진구,동서울종합터미널,서울 광진구 강변역로 50-0,기타관광,교통시설,391596
26,충청북도,청주시 흥덕구,오송역,충북 청주시 흥덕구 오송가락로 123-0,기타관광,교통시설,388186
27,경기도,여주시,신세계프리미엄아울렛여주점,경기 여주시 명품로 360-0,쇼핑,쇼핑몰,383097
28,경기도,고양시 일산서구,킨텍스제1전시장,경기 고양시 일산서구 킨텍스로 217-60,문화관광,전시시설,381692
29,경기도,화성시,SRT동탄역,경기 화성시 동탄역로 지하 151-0,기타관광,교통시설,374575
30,서울특별시,송파구,가락동농수산물도매시장,서울 송파구 양재대로 932-0,쇼핑,시장,343859
31,대구광역시,동구,동대구역,대구 동구 동대구로 550-0,기타관광,교통시설,340761
32,부산광역시,해운대구,신세계백화점센텀시티점,부산 해운대구 센텀남대로 35-0,쇼핑,백화점,339253
33,서울특별시,영등포구,IFC몰,서울 영등포구 국제금융로 10-0,쇼핑,쇼핑몰,337486
34,충청남도,아산시,천안아산역,충남 아산시 희망로 100-0,기타관광,교통시설,332591
35,서울특별시,강서구,롯데몰김포공항점,서울 강서구 하늘길 38-0,쇼핑,쇼핑몰,330440
36,대전광역시,동구,대전역,대전 동구 중앙로 215-0,기타관광,교통시설,328311
37,서울특별시,동작구,노량진수산시장,서울 동작구 노들로 674-0,쇼핑,시장,309596
38,전북특별자치도,전주시 완산구,전주한옥마을,전북 전주시 완산구 기린대로 99-0,역사관광,역사유적지,302584
39,서울특별시,서초구,서울고속버스터미널경부영동선,서울 서초구 신반포로 194-0,기타관광,교통시설,299178
40,서울특별시,양천구,현대백화점목동점,서울 양천구 목동동로 257-0,쇼핑,백화점,291892
41,울산광역시,울주군,울산역,울산 울주군 울산역로 177-0,기타관광,교통시설,289105
42,경상남도,김해시,롯데프리미엄아울렛김해점,경남 김해시 장유로 469-0,쇼핑,쇼핑몰,287539
43,서울특별시,중구,롯데백화점본점,서울 중구 남대문로 81-0,쇼핑,백화점,285947
44,경기도,용인시 수지구,신세계백화점경기점,경기 용인시 수지구 포은대로 536-0,쇼핑,백화점,283915
45,부산광역시,기장군,롯데프리미엄아울렛동부산점,부산 기장군 기장해안로 147-0,쇼핑,쇼핑몰,282240
46,서울특별시,송파구,롯데월드잠실점,서울 송파구 올림픽로 240-0,문화관광,테마공원,272833
47,대구광역시,동구,신세계백화점대구점,대구 동구 동부로 149-0,쇼핑,백화점,272433
48,인천광역시,중구,을왕리해수욕장,인천 중구 을왕로 52-0,자연관광,자연경관(하천/해양),268035
49,인천광역시,중구,월미도,인천 중구,자연관광,자연경관(하천/해양),266919
50,경기도,하남시,스타필드시티위례,경기 하남시 위례대로 200-0,쇼핑,쇼핑몰,264784
51,경기도,수원시 권선구,롯데몰수원점,경기 수원시 권선구 세화로 134-0,쇼핑,쇼핑몰,252201
52,광주광역시,서구,유스퀘어 광주종합버스터미널,광주 서구 무진대로 904-0,기타관광,교통시설,249115
53,경기도,고양시 덕양구,행신역,경기 고양시 덕양구 소원로 102-0,기타관광,교통시설,246934
54,제주특별자치도,제주시,동문재래시장,제주 제주시 관덕로14길 20-0,쇼핑,시장,246150
55,경기도,수원시 권선구,수원버스터미널,경기 수원시 권선구 경수대로 270-0,기타관광,교통시설,243141
56,경기도,용인시 기흥구,한국민속촌,경기 용인시 기흥구 민속촌로 90-0,역사관광,역사유적지,242179
57,강원특별자치도,정선군,강원랜드카지노,강원 정선군 하이원길 265-0,문화관광,기타문화관광지,241312
58,서울특별시,영등포구,여의도한강공원,서울 영등포구 여의동로 330-0,문화관광,도시공원,240698
59,충청남도,보령시,대천해수욕장,충남 보령시,자연관광,자연경관(하천/해양),233527
60,부산광역시,부산진구,롯데백화점부산본점,부산 부산진구 가야대로 772-0,쇼핑,백화점,229222
61,강원특별자치도,강릉시,경포해변,강원 강릉시,자연관광,자연경관(하천/해양),228969
62,서울특별시,송파구,롯데월드몰,서울 송파구 올림픽로 300-0,쇼핑,쇼핑몰,224378
63,서울특별시,강남구,현대백화점압구정본점,서울 강남구 압구정로 165-0,쇼핑,백화점,223758
64,경기도,구리시,구리농수산물도매시장,경기 구리시 동구릉로136번길 90-0,쇼핑,시장,222839
65,서울특별시,용산구,용산역,서울 용산구 한강대로23길 55-0,기타관광,교통시설,220695
66,경기도,고양시 일산서구,킨텍스제2전시장,경기 고양시 일산서구 킨텍스로 217-59,문화관광,전시시설,216934
67,서울특별시,강남구,현대백화점무역센터점,서울 강남구 테헤란로 517-0,쇼핑,백화점,215965
68,경기도,부천시,현대백화점중동점,경기 부천시 길주로 180-0,쇼핑,백화점,215118
69,인천광역시,미추홀구,인천종합터미널,인천 미추홀구 연남로 35-0,기타관광,교통시설,213885
70,제주특별자치도,서귀포시,서귀포매일올레시장,제주 서귀포시 중앙로62번길 18-0,쇼핑,시장,213459
71,인천광역시,남동구,소래포구,인천 남동구 포구로 2-9,자연관광,자연경관(하천/해양),211463
72,부산광역시,해운대구,해운대해수욕장,부산 해운대구 해운대해변로 264-0,자연관광,자연경관(하천/해양),211017
73,서울특별시,중구,신세계백화점본점신관,서울 중구 퇴계로 77-0,쇼핑,백화점,210385
74,경기도,고양시 일산서구,현대백화점킨텍스점,경기 고양시 일산서구 호수로 817-0,쇼핑,백화점,209604
75,부산광역시,기장군,신세계프리미엄아울렛부산점,부산 기장군 정관로 1133-0,쇼핑,쇼핑몰,208587
76,강원특별자치도,속초시,속초해변,강원 속초시 해오름로 186-0,자연관광,자연경관(하천/해양),208045
77,충청남도,천안시 동남구,천안종합버스터미널,충남 천안시 동남구 만남로 43-0,기타관광,교통시설,207267
78,충청북도,청주시 청원구,청주국제공항,충북 청주시 청원구 오창대로 980-0,기타관광,교통시설,202925
79,인천광역시,미추홀구,롯데백화점인천점,인천 미추홀구 연남로 35-0,쇼핑,백화점,199464
80,서울특별시,송파구,가든파이브라이프,서울 송파구 충민로 66-0,쇼핑,쇼핑몰,198990
81,서울특별시,용산구,CGV용산아이파크몰,서울 용산구 한강대로23길 55-0,문화관광,공연시설,197782
82,부산광역시,강서구,김해공항국내선청사,부산 강서구 공항진입로 108-0,기타관광,교통시설,197701
83,서울특별시,송파구,롯데백화점잠실점,서울 송파구 올림픽로 240-0,쇼핑,백화점,194865
84,서울특별시,광진구,어린이대공원,서울 광진구 능동로 216-0,문화관광,테마공원,194473
85,인천광역시,연수구,스퀘어원,인천 연수구 청능대로 210-0,쇼핑,쇼핑몰,193875
86,경기도,고양시 일산동구,일산호수공원,경기 고양시 일산동구 호수로 595-0,문화관광,도시공원,191152
87,경기도,양평군,두물머리,경기 양평군,기타관광,기타관광,190764
88,부산광역시,수영구,광안리해수욕장,부산 수영구 광안해변로 219-0,자연관광,자연경관(하천/해양),189178
89,서울특별시,강서구,김포국제공항국제선,서울 강서구 하늘길 38-0,기타관광,교통시설,188823
90,경기도,시흥시,오이도빨강등대,경기 시흥시 오이도로 170-0,문화관광,랜드마크관광,188484
91,경기도,수원시 팔달구,AK플라자수원,경기 수원시 팔달구 덕영대로 924-0,쇼핑,백화점,182941
92,대전광역시,동구,대전복합터미널서관,대전 동구 동서대로 1689-0,기타관광,교통시설,182143
93,경기도,과천시,서울대공원,경기 과천시 대공원광장로 102-0,문화관광,테마공원,181737
94,인천광역시,남동구,소래포구종합어시장,인천 남동구 소래역로 12-0,쇼핑,시장,181472
95,강원특별자치도,강릉시,주문진항,강원 강릉시 해안로 1758-14,자연관광,자연경관(하천/해양),180801
96,경상북도,경주시,불국사,경북 경주시 불국로 385-0,역사관광,종교성지,180649
97,서울특별시,송파구,올림픽공원,서울 송파구 올림픽로 424-0,문화관광,도시공원,180576
98,경기도,파주시,헤이리예술마을,경기 파주시 헤이리마을길 59-118,기타관광,기타관광,176850
99,인천광역시,중구,연안부두,인천 중구 연안부두로 0-0,자연관광,자연경관(하천/해양),176692
100,충청남도,예산군,예당호출렁다리,충남 예산군,기타관광,기타관광,173424
101,경기도,수원시 영통구,롯데아울렛광교점,경기 수원시 영통구 도청로 10-0,쇼핑,쇼핑몰,173326
102,서울특별시,강서구,NC백화점강서점,서울 강서구 강서로56길 17-0,쇼핑,백화점,173319
103,경기도,고양시 일산동구,라페스타,경기 고양시 일산동구 무궁화로 20-11,쇼핑,쇼핑몰,173018
104,서울특별시,서초구,신세계센트럴시티터미널호남선,서울 서초구 신반포로 176-0,기타관광,교통시설,172699
105,부산광역시,기장군,해동용궁사,부산 기장군 용궁길 86-0,역사관광,종교성지,172408
106,경기도,수원시 권선구,롯데백화점수원점,경기 수원시 권선구 세화로 118-0,쇼핑,백화점,172037
107,강원특별자치도,양양군,낙산사,강원 양양군 낙산사로 100-0,역사관광,종교성지,171907
108,서울특별시,마포구,서울월드컵경기장,서울 마포구 월드컵로 240-0,문화관광,레저스포츠시설,171004
109,경기도,부천시,스타필드시티부천,경기 부천시 옥길로 1-0,쇼핑,쇼핑몰,170628
110,경기도,의정부시,신세계백화점의정부점,경기 의정부시 평화로 525-0,쇼핑,백화점,170586
111,전북특별자치도,익산시,익산역,전북 익산시 익산대로 153-0,기타관광,교통시설,169436
112,경상북도,포항시 북구,죽도시장,경북 포항시 북구 죽도시장13길 13-1,쇼핑,시장,163455
113,인천광역시,연수구,송도센트럴파크,인천 연수구 컨벤시아대로 160-0,문화관광,도시공원,161772
114,부산광역시,해운대구,송정해수욕장,부산 해운대구 송정해변로 62-0,자연관광,자연경관(하천/해양),161720
115,대전광역시,서구,갤러리아백화점타임월드점,대전 서구 대덕대로 211-0,쇼핑,백화점,160401
116,경기도,부천시,부천터미널소풍,경기 부천시 송내대로 239-0,기타관광,교통시설,159613
117,서울특별시,강남구,SETEC,서울 강남구 남부순환로 3104-0,문화관광,전시시설,159262
118,경기도,안양시 동안구,롯데백화점평촌점,경기 안양시 동안구 시민대로 180-0,쇼핑,백화점,157100
119,서울특별시,서대문구,현대백화점신촌점,서울 서대문구 신촌로 83-0,쇼핑,백화점,156960
120,경기도,부천시,롯데백화점중동점,경기 부천시 길주로 300-0,쇼핑,백화점,156726
121,서울특별시,중구,현대시티아울렛동대문점,서울 중구 장충단로13길 20-0,쇼핑,쇼핑몰,156374
122,서울특별시,서초구,예술의전당,서울 서초구 남부순환로 2406-0,문화관광,공연시설,153359
123,인천광역시,남동구,인천대공원,인천 남동구 무네미로 236-0,문화관광,도시공원,153099
124,서울특별시,노원구,롯데백화점노원점,서울 노원구 동일로 1414-0,쇼핑,백화점,152795
125,경기도,이천시,이천종합버스터미널,경기 이천시 이섭대천로 1200-0,기타관광,교통시설,152207
126,세종특별자치시,세종특별자치시,조치원역,세종시   으뜸길 215-0,기타관광,교통시설,148064
127,제주특별자치도,서귀포시,성산일출봉,제주 서귀포시 일출로 284-12,자연관광,자연경관(산),146860
128,전북특별자치도,전주시 덕진구,전주역,전북 전주시 덕진구 동부대로 680-0,기타관광,교통시설,146210
129,서울특별시,은평구,롯데몰은평점,서울 은평구 통일로 1050-0,쇼핑,쇼핑몰,146124
130,강원특별자치도,속초시,대포항,강원 속초시,자연관광,자연경관(하천/해양),145678
131,서울특별시,종로구,동대문종합시장,서울 종로구 종로 266-0,쇼핑,시장,145539
132,충청남도,천안시 동남구,신세계백화점천안아산점,충남 천안시 동남구 만남로 43-0,쇼핑,백화점,144118
133,강원특별자치도,원주시,원주종합버스터미널,강원 원주시 서원대로 171-0,기타관광,교통시설,143871
134,경상북도,경주시,동궁과월지,경북 경주시 원화로 102-0,역사관광,역사유적지,143725
135,부산광역시,사상구,부산서부버스터미널,부산 사상구 사상로 201-0,기타관광,교통시설,142988
136,서울특별시,강동구,현대백화점천호점,서울 강동구 천호대로 1005-0,쇼핑,백화점,142930
137,경기도,구리시,롯데백화점구리점,경기 구리시 경춘로 261-0,쇼핑,백화점,142543
138,서울특별시,동대문구,롯데백화점청량리점,서울 동대문구 왕산로 214-0,쇼핑,백화점,142514
139,서울특별시,영등포구,신세계백화점타임스퀘어점,서울 영등포구 영중로 9-0,쇼핑,백화점,141603
140,경상북도,경주시,첨성대,경북 경주시 첨성로 140-25,역사관광,역사유적지,140905
141,부산광역시,중구,자갈치시장,부산 중구 자갈치해안로 52-0,쇼핑,시장,140143
142,서울특별시,강서구,서울식물원,서울 강서구 마곡동로 161-0,문화관광,테마공원,139834
143,부산광역시,동구,부산역,부산 동구 중앙대로 206-0,기타관광,교통시설,139292
144,제주특별자치도,제주시,협재해수욕장,제주 제주시,자연관광,자연경관(하천/해양),138570
145,경기도,광명시,광명동굴,경기 광명시 가학로85번길 142-0,자연관광,자연생태,137849
146,경기도,화성시,궁평항,경기 화성시 궁평항로 1049-24,자연관광,자연경관(하천/해양),137470
147,강원특별자치도,춘천시,남이섬,강원 춘천시 남이섬길 1-0,자연관광,자연경관(하천/해양),137281
148,서울특별시,성동구,서울숲,서울 성동구 뚝섬로 273-0,문화관광,도시공원,137230
149,경기도,파주시,마장호수출렁다리,경기 파주시,기타관광,기타관광,137229
150,충청북도,청주시 흥덕구,청주시외버스터미널,충북 청주시 흥덕구 풍산로 6-0,기타관광,교통시설,136707
151,서울특별시,강서구,강서농산물도매시장,서울 강서구 발산로 40-0,쇼핑,시장,135558
152,부산광역시,중구,롯데백화점광복점,부산 중구 중앙대로 2-0,쇼핑,백화점,135001
153,경기도,부천시,웅진플레이도시,경기 부천시 조마루로 2-0,문화관광,테마공원,133697
154,부산광역시,부산진구,NC백화점서면점,부산 부산진구 동천로 92-0,쇼핑,백화점,132577
155,경기도,가평군,아침고요수목원,경기 가평군 수목원로 432-0,문화관광,테마공원,132171
156,강원특별자치도,홍천군,비발디파크 오션월드,강원 홍천군 한치골길 262-0,문화관광,테마공원,131993
157,서울특별시,서초구,서울남부터미널,서울 서초구 효령로 292-0,기타관광,교통시설,131834
158,서울특별시,중구,두산타워,서울 중구 장충단로 275-0,쇼핑,쇼핑몰,131577
159,충청남도,천안시 동남구,독립기념관,충남 천안시 동남구 독립기념관로 1-0,문화관광,전시시설,130027
160,인천광역시,연수구,송도컨벤시아,인천 연수구 센트럴로 123-0,문화관광,전시시설,129579
161,경기도,과천시,서울랜드,경기 과천시 광명로 181-0,문화관광,테마공원,129526
162,강원특별자치도,강릉시,안목해변,강원 강릉시 창해로14번길 20-1,자연관광,자연경관(하천/해양),129401
163,경기도,광주시,화담숲,경기 광주시 도척윗로 278-1,문화관광,테마공원,129148
164,경기도,성남시 분당구,율동공원,경기 성남시 분당구 문정로 145-0,문화관광,도시공원,128722
165,서울특별시,용산구,국립중앙박물관,서울 용산구 서빙고로 137-0,문화관광,전시시설,128685
166,서울특별시,영등포구,롯데백화점영등포점,서울 영등포구 경인로 846-0,쇼핑,백화점,128248
167,경기도,용인시 처인구,캐리비안베이,경기 용인시 처인구 에버랜드로 199-0,문화관광,테마공원,128099
168,전라남도,순천시,순천만국가정원,전남 순천시 국가정원1호길 47-0,기타관광,기타관광,127566
169,경기도,성남시 분당구,성남시임시버스터미널,경기 성남시 분당구 성남대로925번길 16-0,기타관광,교통시설,126632
170,인천광역시,강화군,동막해수욕장,인천 강화군 해안남로 1481-0,자연관광,자연경관(하천/해양),126052
171,경기도,성남시 분당구,AK플라자분당,경기 성남시 분당구 황새울로360번길 42-0,쇼핑,백화점,125423
172,경기도,용인시 처인구,용인공용버스터미널,경기 용인시 처인구 중부대로 1486-0,기타관광,교통시설,125231
173,경기도,용인시 수지구,롯데몰수지점,경기 용인시 수지구 성복2로 38-0,쇼핑,쇼핑몰,124962
174,경기도,남양주시,평내호평역,경기 남양주시 경춘로 1375-0,기타관광,교통시설,124823
175,경상북도,김천시,김천구미역,경북 김천시 혁신1로 51-0,기타관광,교통시설,124266
176,대구광역시,중구,서문시장,대구 중구 큰장로26길 45-0,쇼핑,시장,124229
177,대구광역시,중구,더현대대구,대구 중구 달구벌대로 2077-0,쇼핑,백화점,124086
178,경상남도,거제시,바람의언덕,경남 거제시,문화관광,기타문화관광지,123964
179,경기도,수원시 영통구,광교호수공원,경기 수원시 영통구 광교호수공원로 102-0,문화관광,도시공원,123949
180,강원특별자치도,속초시,설악케이블카,강원 속초시 설악산로 1085-0,기타관광,기타관광,122819
181,대구광역시,동구,대구국제공항,대구 동구 공항로 221-0,기타관광,교통시설,122362
182,제주특별자치도,제주시,함덕해수욕장,제주 제주시 조함해안로 525-0,자연관광,자연경관(하천/해양),121614
183,서울특별시,용산구,남산서울타워,서울 용산구 남산공원길 105-0,문화관광,랜드마크관광,121497
184,경기도,파주시,금촌역,경기 파주시 새꽃로 193-0,기타관광,교통시설,120218
185,대전광역시,서구,롯데백화점대전점,대전 서구 계룡로 598-0,쇼핑,백화점,118738
186,경기도,고양시 일산동구,롯데백화점일산점,경기 고양시 일산동구 중앙로 1283-0,쇼핑,백화점,118679
187,부산광역시,중구,국제시장,부산 중구 국제시장2길 25-0,쇼핑,시장,118089
188,경상남도,남해군,독일마을,경남 남해군 독일로 92-0,기타관광,기타관광,117617
189,서울특별시,서초구,반포한강공원,서울 서초구 신반포로11길 40-0,문화관광,도시공원,117327
190,경상남도,통영시,통영중앙전통시장,경남 통영시 중앙시장1길 14-16,쇼핑,시장,117259
191,경기도,안양시 동안구,안양농수산물도매시장,경기 안양시 동안구 흥안대로 313-0,쇼핑,시장,117223
192,부산광역시,영도구,태종대,부산 영도구 전망로 24-0,역사관광,역사유적지,116032
193,전라남도,담양군,죽녹원,전남 담양군 죽녹원로 119-0,자연관광,자연공원,115536
194,충청북도,청주시 흥덕구,현대백화점충청점,충북 청주시 흥덕구 직지대로 308-0,쇼핑,백화점,115291
195,서울특별시,강남구,갤러리아백화점명품관EAST,서울 강남구 압구정로 407-0,쇼핑,백화점,115074
196,부산광역시,해운대구,벡스코제1전시장,부산 해운대구 APEC로 55-0,문화관광,전시시설,114808
197,서울특별시,금천구,현대시티아울렛가산점,서울 금천구 디지털로10길 9-0,쇼핑,쇼핑몰,114733
198,충청남도,당진시,삽교호관광지,충남 당진시 삽교천3길 100-0,문화관광,복합관광시설,114281
199,경상북도,구미시,구미역,경북 구미시 구미중앙로 76-0,기타관광,교통시설,113498
200,서울특별시,금천구,마리오아울렛1관,서울 금천구 디지털로 185-0,쇼핑,쇼핑몰,113487
201,경기도,수원시 영통구,수원컨벤션센터,경기 수원시 영통구 광교중앙로 140-0,문화관광,전시시설,112666
202,강원특별자치도,강릉시,주문진수산시장,강원 강릉시 시장1길 4-1,쇼핑,시장,112141
203,경기도,광명시,롯데몰광명점,경기 광명시 일직로 17-0,쇼핑,쇼핑몰,111783
204,충청북도,청주시 흥덕구,청주고속버스임시터미널,충북 청주시 흥덕구 2순환로 1228-0,기타관광,교통시설,111526
205,부산광역시,금정구,부산종합버스터미널,부산 금정구 중앙대로 2238-0,기타관광,교통시설,110869
206,서울특별시,성북구,현대백화점미아점,서울 성북구 동소문로 315-0,쇼핑,백화점,110492
207,서울특별시,강남구,롯데백화점강남점,서울 강남구 도곡로 401-0,쇼핑,백화점,110293
208,경기도,고양시 일산서구,원마운트,경기 고양시 일산서구 한류월드로 300-0,쇼핑,쇼핑몰,110189
209,경기도,시흥시,물왕호수,경기 시흥시,자연관광,자연경관(하천/해양),110071
210,경상북도,포항시 북구,영일대해수욕장,경북 포항시 북구,자연관광,자연경관(하천/해양),109822
211,부산광역시,사하구,다대포해수욕장,부산 사하구 몰운대1길 14-0,자연관광,자연경관(하천/해양),108930
212,경상북도,경주시,신경주역,경북 경주시 경주역로 80-0,기타관광,교통시설,108679
213,전라남도,목포시,목포역,전남 목포시 영산로 98-0,기타관광,교통시설,108649
214,전라남도,여수시,오동도,전남 여수시 오동도로 222-0,자연관광,자연경관(하천/해양),107343
215,경상북도,포항시 남구,포항시외버스터미널,경북 포항시 남구 중흥로 85-0,기타관광,교통시설,106952
216,경기도,의왕시,백운호수,경기 의왕시 학현로 0-0,자연관광,자연경관(하천/해양),106097
