state,city,spot,category_m,category_s,search_count,year,combined_city
서울특별시,강남구,코엑스,문화관광,전시시설,456473,2018,서울특별시 강남구
경기도,용인시 처인구,에버랜드,문화관광,테마공원,330266,2018,경기도 용인시 처인구
서울특별시,동작구,노량진수산시장,쇼핑,시장,251985,2018,서울특별시 동작구
서울특별시,송파구,가락동농수산물도매시장,쇼핑,시장,231899,2018,서울특별시 송파구
서울특별시,용산구,CGV용산아이파크몰,문화관광,공연시설,227562,2018,서울특별시 용산구
인천광역시,중구,을왕리해수욕장,자연관광,자연경관(하천/해양),217836,2018,인천광역시 중구
경기도,고양시 일산서구,킨텍스제1전시장,문화관광,전시시설,214874,2018,경기도 고양시 일산서구
서울특별시,송파구,롯데월드잠실점,문화관광,테마공원,212754,2018,서울특별시 송파구
전북특별자치도,전주시 완산구,전주한옥마을,역사관광,역사유적지,212376,2018,전북특별자치도 전주시 완산구
인천광역시,중구,월미도,자연관광,자연경관(하천/해양),207328,2018,인천광역시 중구
강원특별자치도,속초시,속초관광수산시장,쇼핑,시장,192140,2018,강원특별자치도 속초시
강원특별자치도,강릉시,경포해변,자연관광,자연경관(하천/해양),188157,2018,강원특별자치도 강릉시
충청남도,보령시,대천해수욕장,자연관광,자연경관(하천/해양),186565,2018,충청남도 보령시
인천광역시,남동구,소래포구,자연관광,자연경관(하천/해양),181965,2018,인천광역시 남동구
서울특별시,영등포구,여의도한강공원,문화관광,도시공원,176908,2018,서울특별시 영등포구
경기도,고양시 일산서구,킨텍스제2전시장,문화관광,전시시설,174400,2018,경기도 고양시 일산서구
경기도,구리시,구리농수산물도매시장,쇼핑,시장,169352,2018,경기도 구리시
강원특별자치도,속초시,속초해변,자연관광,자연경관(하천/해양),165529,2018,강원특별자치도 속초시
경기도,용인시 기흥구,한국민속촌,역사관광,역사유적지,163291,2018,경기도 용인시 기흥구
경기도,고양시 일산동구,일산호수공원,문화관광,도시공원,163209,2018,경기도 고양시 일산동구
부산광역시,해운대구,해운대해수욕장,자연관광,자연경관(하천/해양),162178,2018,부산광역시 해운대구
인천광역시,연수구,송도센트럴파크,문화관광,도시공원,161025,2018,인천광역시 연수구
제주특별자치도,제주시,동문재래시장,쇼핑,시장,159847,2018,제주특별자치도 제주시
경기도,과천시,서울대공원,문화관광,테마공원,159486,2018,경기도 과천시
강원특별자치도,정선군,강원랜드카지노,문화관광,기타문화관광지,158750,2018,강원특별자치도 정선군
인천광역시,중구,연안부두,자연관광,자연경관(하천/해양),156143,2018,인천광역시 중구
